No;MPG;Cylinders;Displacement;Horsepower;Weight;Acceleration;Model Year;USA;Europe;Japan;;
203;29.5;-0.869348;-0.942365;-0.88905;-1.380796;-1.20436;0.027726;-1.286751;2.143005;-0.495225;;
335;35;-0.869348;-0.702745;-0.442811;-0.580937;-0.164646;1.115971;-1.286751;2.143005;-0.495225;;
99;18;0.30727;0.351586;-0.127819;-0.053622;0.158024;-0.788458;0.774676;-0.465148;-0.495225;;
385;38;-0.869348;-0.999874;-0.994047;-1.17935;0.229728;1.660094;-1.286751;-0.465148;2.012852;;
180;25;-0.869348;-0.71233;0.265921;-0.378306;-0.738281;-0.244335;-1.286751;2.143005;-0.495225;;
258;20.6;0.30727;0.342001;0.003427;0.461843;0.086319;0.571849;0.774676;-0.465148;-0.495225;;
95;12;1.483887;2.489002;3.153347;2.323441;-1.634586;-0.788458;0.774676;-0.465148;-0.495225;;
366;17.6;0.30727;0.284492;-0.521559;0.562566;0.373137;1.388032;0.774676;-0.465148;-0.495225;;
96;13;1.483887;1.578444;1.84088;0.984417;-1.634586;-0.788458;0.774676;-0.465148;-0.495225;;
347;37;-0.869348;-1.057383;-1.046546;-1.203049;1.376998;1.388032;-1.286751;-0.465148;2.012852;;
171;24;-0.869348;-0.587727;-0.232816;-0.341571;-0.738281;-0.244335;-1.286751;-0.465148;2.012852;;
70;13;1.483887;1.961837;2.23462;1.696588;-1.096803;-1.060519;0.774676;-0.465148;-0.495225;;
307;26.8;0.30727;-0.213919;0.265921;-0.343941;-0.953394;0.84391;0.774676;-0.465148;-0.495225;;
49;23;-0.869348;-0.702745;-0.49531;-0.91273;-0.55902;-1.33258;0.774676;-0.465148;-0.495225;;
209;19;-0.869348;-0.721914;-0.442811;0.331495;2.273303;0.027726;-1.286751;2.143005;-0.495225;;
281;19.8;0.30727;0.044872;-0.521559;-0.000298;0.946772;0.84391;0.774676;-0.465148;-0.495225;;
229;16;1.483887;1.961837;1.972127;1.457223;-1.598734;0.299787;0.774676;-0.465148;-0.495225;;
150;26;-0.869348;-0.836932;-0.311564;-0.710099;-0.021237;-0.516397;-1.286751;-0.465148;2.012852;;
145;32;-0.869348;-1.076553;-1.151543;-1.16987;1.233589;-0.516397;-1.286751;-0.465148;2.012852;;
182;28;-0.869348;-0.846517;-0.49531;-0.623596;-0.021237;0.027726;-1.286751;2.143005;-0.495225;;
